S,E,I,R,
3700,364,751,15185
3692,371,758,15179
3695,376,742,15187
3677,391,726,15206
3659,388,728,15225
3667,372,753,15208
3667,354,746,15233
3654,362,737,15247
3632,367,747,15254
3623,377,728,15272
3612,376,730,15282
3605,363,736,15296
3602,361,748,15289
3582,362,772,15284
3575,363,757,15305
3548,376,758,15318
3546,354,761,15339
3525,345,743,15387
3506,357,735,15402
3510,355,735,15400
3489,346,738,15427
3517,319,745,15419
3506,325,739,15430
3478,335,715,15472
3465,342,711,15482
3469,339,707,15485
3485,318,699,15498
3486,326,709,15479
3503,330,714,15453
3506,304,714,15476
3506,321,695,15478
3516,309,695,15480
3501,309,672,15518
3515,288,690,15507
3504,314,684,15498
3498,324,682,15496
3508,331,651,15510
3509,316,684,15491
3502,319,687,15492
3516,303,695,15486
3515,312,682,15491
3536,295,704,15465
3552,293,690,15465
3551,291,681,15477
3557,288,670,15485
3568,300,662,15470
3550,319,632,15499
3580,300,634,15486
3609,298,651,15442
3617,312,643,15428
3624,304,657,15415
3625,328,651,15396
3637,322,644,15397
3634,321,670,15375
3650,322,680,15348
3665,356,648,15331
3678,349,659,15314
3671,354,645,15330
3656,377,650,15317
3656,372,680,15292
3660,374,677,15289
3686,355,682,15277
3664,378,669,15289
3648,375,685,15292
3645,366,702,15287
3637,364,706,15293
3624,378,724,15274
3626,376,746,15252
3607,356,756,15281
3607,355,741,15297
3597,357,749,15297
3601,339,785,15275
3577,362,780,15281
3556,389,758,15297
3566,391,771,15272
3529,407,800,15264
3486,393,821,15300
3455,414,814,15317
3438,404,821,15337
3415,421,826,15338
3368,448,827,15357
3348,433,855,15364
3337,412,859,15392
3320,399,868,15413
3326,386,830,15458
3311,376,811,15502
3285,400,795,15520
3266,394,818,15522
3250,391,819,15540
3243,357,834,15566
3241,370,817,15572
3272,359,816,15553
3270,359,835,15536
3287,339,817,15557
3257,369,771,15603
3265,346,786,15603
3281,344,775,15600
3265,374,748,15613
3272,345,758,15625
3254,350,746,15650
3259,352,759,15630
3257,359,754,15630
3269,363,730,15638
3291,370,722,15617
3297,369,719,15615
3299,358,713,15630
3304,371,711,15614
3287,379,734,15600
3305,361,751,15583
3296,362,747,15595
3309,360,761,15570
3317,359,764,15560
3324,350,777,15549
3327,352,750,15571
3332,329,764,15575
3332,334,762,15572
3334,323,776,15567
3320,340,769,15571
3333,344,761,15562
3365,321,740,15574
3358,335,752,15555
3359,335,734,15572
3363,357,733,15547
3378,335,723,15564
3412,319,712,15557
3440,304,699,15557
3434,306,696,15564
3445,315,690,15550
3472,286,700,15542
3468,290,687,15555
3476,291,665,15568
3514,268,660,15558
3520,296,641,15543
3513,316,620,15551
3518,311,615,15556
3526,330,611,15533
3546,322,620,15512
3568,328,616,15488
3581,332,606,15481
3586,329,612,15473
3606,329,624,15441
3650,293,613,15444
3674,292,628,15406
3681,309,598,15412
3700,319,617,15364
3718,338,611,15333
3712,342,637,15309
3715,326,650,15309
3710,333,653,15304
3712,345,669,15274
3724,356,656,15264
3715,357,663,15265
3722,353,655,15270
3738,324,685,15253
3750,323,690,15237
3752,332,676,15240
3751,344,680,15225
3744,349,699,15208
3769,337,690,15204
3773,331,678,15218
3781,350,658,15211
3799,334,674,15193
3807,337,671,15185
3807,325,661,15207
3784,334,678,15204
3782,347,684,15187
3808,320,709,15163
3786,348,717,15149
3781,335,748,15136
3772,364,730,15134
3766,356,738,15140
3751,368,750,15131
3739,368,757,15136
3722,387,775,15116
3690,400,798,15112
3702,380,809,15109
3707,381,798,15114
3683,397,823,15097
3642,416,827,15115
3608,419,849,15124
3577,413,861,15149
3570,425,855,15150
3538,433,849,15180
3517,432,850,15201
3524,404,881,15191
3498,406,868,15228
3506,389,896,15209
3487,395,903,15215
3481,410,875,15234
3457,397,884,15262
3415,419,872,15294
3397,429,866,15308
3388,439,843,15330
3373,425,841,15361
3386,407,834,15373
3374,396,829,15401
3361,391,829,15419
3350,388,828,15434
3335,402,826,15437
3321,416,794,15469
3349,399,789,15463
3337,393,801,15469
3328,386,782,15504
3326,377,785,15512
3331,363,785,15521
3341,359,798,15502
3332,368,787,15513
3333,394,772,15501
3328,411,760,15501
3319,420,764,15497
3325,402,776,15497
3324,383,814,15479
3320,390,794,15496
3293,398,802,15507
3262,397,816,15525
3273,387,821,15519
3262,376,814,15548
3282,326,833,15559
3294,336,803,15567
3290,355,789,15566
3305,326,785,15584
3320,340,749,15591
3339,343,743,15575
3363,325,740,15572
3356,322,754,15568
3361,310,758,15571
3364,316,749,15571
3352,332,737,15579
3338,328,745,15589
3342,343,713,15602
3331,344,724,15601
3351,334,727,15588
3355,337,739,15569
3373,331,736,15560
3377,340,730,15553
3395,351,704,15550
3417,340,695,15548
3417,319,703,15561
3437,313,694,15556
3467,318,677,15538
3464,323,661,15552
3474,296,676,15554
3477,311,667,15545
3485,311,664,15540
3467,315,689,15529
3471,325,674,15530
3477,337,658,15528
3506,322,661,15511
3517,321,681,15481
3543,308,667,15482
3553,317,664,15466
3571,319,656,15454
3584,326,640,15450
3563,321,659,15457
3542,341,647,15470
3527,357,652,15464
3552,343,645,15460
3553,352,637,15458
3564,334,666,15436
3561,334,666,15439
3554,336,668,15442
3571,321,670,15438
3588,319,668,15425
3568,339,642,15451
3594,326,662,15418
3618,316,662,15404
3623,316,667,15394
3634,337,657,15372
3611,362,672,15355
3599,356,670,15375
3575,358,684,15383
3575,353,681,15391
3587,346,699,15368
3562,343,701,15394
3540,363,695,15402
3551,339,712,15398
3553,357,686,15404
3527,341,687,15445
3524,336,701,15439
3511,328,685,15476
